ensembl_gene_id	ensembl_transcript_id
ENSG00000109332	ENST00000453744
ENSG00000138757	ENST00000359707
ENSG00000106615	ENST00000262187
ENSG00000125755	ENST00000245934
ENSG00000014824	ENST00000264451
ENSG00000068697	ENST00000175091
ENSG00000120992	ENST00000316963
ENSG00000166886	ENST00000300131
ENSG00000166477	ENST00000299601
ENSG00000123384	ENST00000243077
ENSG00000153904	ENST00000284031
ENSG00000088205	ENST00000263239
ENSG00000146386	ENST00000367660
ENSG00000138594	ENST00000308580
ENSG00000169750	ENST00000306897
ENSG00000055483	ENST00000312010
ENSG00000119711	ENST00000553458
ENSG00000143353	ENST00000366928
ENSG00000142867	ENST00000648566
ENSG00000164442	ENST00000537332
ENSG00000179041	ENST00000320270
ENSG00000092621	ENST00000641023
ENSG00000131043	ENST00000373932
ENSG00000023191	ENST00000438658
ENSG00000090432	ENST00000264198
ENSG00000150593	ENST00000280154
ENSG00000120685	ENST00000352251
ENSG00000114416	ENST00000357559
ENSG00000133606	ENST00000255977
ENSG00000169738	ENST00000306869
ENSG00000105726	ENST00000357324
ENSG00000144655	ENST00000273153
ENSG00000100029	ENST00000354694
ENSG00000136875	ENST00000374198
ENSG00000101474	ENST00000217456
ENSG00000116005	ENST00000433351
ENSG00000178127	ENST00000318388
ENSG00000085063	ENST00000415002
ENSG00000170604	ENST00000302165
ENSG00000132466	ENST00000358602
ENSG00000127511	ENST00000379803
ENSG00000109062	ENST00000262613
ENSG00000162408	ENST00000377705
ENSG00000143756	ENST00000366862
ENSG00000131023	ENST00000543571
ENSG00000134107	ENST00000256495
ENSG00000183751	ENST00000568546
ENSG00000229117	ENST00000546591
ENSG00000184990	ENST00000329967
ENSG00000109270	ENST00000499666
ENSG00000120253	ENST00000340413
ENSG00000178252	ENST00000610967
ENSG00000173473	ENST00000254480
ENSG00000168005	ENST00000294244
ENSG00000117395	ENST00000431635
ENSG00000143753	ENST00000323699
ENSG00000172340	ENST00000307227
ENSG00000183576	ENST00000331768
ENSG00000134294	ENST00000256689
ENSG00000120265	ENST00000367384
ENSG00000135334	ENST00000257787
ENSG00000196865	ENST00000369301
ENSG00000166913	ENST00000372839
ENSG00000143748	ENST00000281701
ENSG00000109736	ENST00000355443
ENSG00000100804	ENST00000361611
ENSG00000178057	ENST00000326925
ENSG00000162409	ENST00000371244
ENSG00000035862	ENST00000262768
ENSG00000127554	ENST00000248114
ENSG00000136827	ENST00000351698
ENSG00000138069	ENST00000409784
ENSG00000168002	ENST00000301788
ENSG00000132182	ENST00000254508
ENSG00000143641	ENST00000366672
ENSG00000185896	ENST00000332556
ENSG00000177479	ENST00000356401
ENSG00000114021	ENST00000394140
ENSG00000106009	ENST00000340611
ENSG00000162298	ENST00000377190
ENSG00000104408	ENST00000220849
ENSG00000095787	ENST00000354911
ENSG00000128283	ENST00000249014
ENSG00000002330	ENST00000309032
ENSG00000011485	ENST00000012443
ENSG00000136819	ENST00000372447
ENSG00000142627	ENST00000358432
ENSG00000054118	ENST00000354618
ENSG00000160209	ENST00000291565
ENSG00000082212	ENST00000321341
ENSG00000169727	ENST00000306823
ENSG00000116478	ENST00000373548
ENSG00000154174	ENST00000284320
ENSG00000183808	ENST00000399300
ENSG00000124164	ENST00000475243
ENSG00000272047	ENST00000607778
ENSG00000149806	ENST00000529639
ENSG00000173465	ENST00000309328
ENSG00000025156	ENST00000368455
ENSG00000154710	ENST00000284957
ENSG00000182013	ENST00000313683
ENSG00000149792	ENST00000279242
ENSG00000106554	ENST00000262570
ENSG00000160014	ENST00000291295
ENSG00000135775	ENST00000366669
ENSG00000115484	ENST00000394440
ENSG00000198265	ENST00000358691
ENSG00000143977	ENST00000272348
ENSG00000138071	ENST00000377982
ENSG00000164032	ENST00000296417
ENSG00000198554	ENST00000360586
ENSG00000175130	ENST00000329421
ENSG00000134644	ENST00000426105
ENSG00000129084	ENST00000396394
ENSG00000018510	ENST00000264167
ENSG00000136270	ENST00000258770
ENSG00000146842	ENST00000397622
ENSG00000072518	ENST00000402010
ENSG00000162377	ENST00000371538
ENSG00000146433	ENST00000367090
ENSG00000111897	ENST00000339697
ENSG00000134108	ENST00000256496
ENSG00000214253	ENST00000223136
ENSG00000185262	ENST00000327490
ENSG00000009844	ENST00000367630
ENSG00000111880	ENST00000369485
ENSG00000089351	ENST00000317991
ENSG00000146425	ENST00000367089
ENSG00000087053	ENST00000346299
ENSG00000165304	ENST00000298048
ENSG00000105401	ENST00000222005
ENSG00000167977	ENST00000301738
ENSG00000151552	ENST00000281243
ENSG00000185475	ENST00000333449
ENSG00000119541	ENST00000238497
ENSG00000128581	ENST00000315322
ENSG00000168569	ENST00000307366
ENSG00000130396	ENST00000392112
ENSG00000100320	ENST00000438146
ENSG00000115053	ENST00000322723
ENSG00000149115	ENST00000358252
ENSG00000053372	ENST00000330263
ENSG00000092820	ENST00000337147
ENSG00000123975	ENST00000314355
ENSG00000131558	ENST00000253861
ENSG00000146007	ENST00000274712
