gene_id	log2foldchange	group
ENSG00000112742	0.352878054938616	TIS genes N = 413
ENSG00000156232	0.77748626775585	TIS genes N = 413
ENSG00000101138	-0.577493499504271	TIS genes N = 413
ENSG00000115840	-0.092669720444079	TIS genes N = 413
ENSG00000103978	0.01927590620155	TIS genes N = 413
ENSG00000115137	-0.184836375656194	TIS genes N = 413
ENSG00000112167	-0.547703572242664	TIS genes N = 413
ENSG00000109670	0.979947003935221	TIS genes N = 413
ENSG00000179943	-0.008584996726355	TIS genes N = 413
ENSG00000197299	0.317043132365375	TIS genes N = 413
ENSG00000145780	0.442362439116799	TIS genes N = 413
ENSG00000083844	0.018635401812642	TIS genes N = 413
ENSG00000178229	-0.05256136401275	TIS genes N = 413
ENSG00000121417	-0.335219832725708	TIS genes N = 413
ENSG00000135913	-0.127378157057148	TIS genes N = 413
ENSG00000273559	0.4807895076812	TIS genes N = 413
ENSG00000163348	0.665666228688858	TIS genes N = 413
ENSG00000112200	-0.189726381279773	TIS genes N = 413
ENSG00000112210	-0.478505870648513	TIS genes N = 413
ENSG00000112208	0.520261857777676	TIS genes N = 413
ENSG00000171606	-0.331509838263655	TIS genes N = 413
ENSG00000006062	0.119615372350565	TIS genes N = 413
ENSG00000089234	-0.207339443538862	TIS genes N = 413
ENSG00000041357	-0.651952301956217	TIS genes N = 413
ENSG00000249471	0.199344106086828	TIS genes N = 413
ENSG00000182149	-0.429709273838928	TIS genes N = 413
ENSG00000181026	-0.667672202163469	TIS genes N = 413
ENSG00000140044	1.299763125212499	TIS genes N = 413
ENSG00000138376	-0.659799716650758	TIS genes N = 413
ENSG00000140367	-0.215558190891447	TIS genes N = 413
ENSG00000101220	-0.684454865164331	others N = 3048
ENSG00000177706	-0.324873615256147	others N = 3048
ENSG00000110811	-0.185310344404717	others N = 3048
ENSG00000185049	0.154071086227146	others N = 3048
ENSG00000137571	0.091579245421249	others N = 3048
ENSG00000107140	0.188406195979482	others N = 3048
ENSG00000134318	0.167469635865091	others N = 3048
ENSG00000177666	0.032427967256265	others N = 3048
ENSG00000165480	-0.096582636903682	others N = 3048
ENSG00000147874	-0.262382415644883	others N = 3048
ENSG00000056487	-0.494021793631014	others N = 3048
ENSG00000155561	0.000227789592744	others N = 3048
ENSG00000173011	0.115259365460557	others N = 3048
ENSG00000104611	0.346735458833127	others N = 3048
ENSG00000183513	0.5729064801438	others N = 3048
ENSG00000164099	0.15734123959537	others N = 3048
ENSG00000171316	0.17499471814562	others N = 3048
ENSG00000132405	-0.433275396493734	others N = 3048
ENSG00000247315	-0.317631936181414	others N = 3048
ENSG00000115107	-0.226100178843754	others N = 3048
ENSG00000272391	0.27155781792568	others N = 3048
ENSG00000205189	0.550226239308656	others N = 3048
ENSG00000065911	0.505987040927423	others N = 3048
ENSG00000147144	0.385483473101594	others N = 3048
ENSG00000145332	-0.666425428560289	others N = 3048
ENSG00000137478	-0.750495749250104	others N = 3048
ENSG00000177990	-0.385181805290303	others N = 3048
ENSG00000134186	0.183879332104126	others N = 3048
ENSG00000102921	-0.27218001996881	others N = 3048
ENSG00000114631	-1.035243878893663	others N = 3048
ENSG00000198911	0.113892897446263	others N = 3048
ENSG00000262664	0.483763744017718	others N = 3048
ENSG00000079215	0.897390464463985	others N = 3048
ENSG00000123575	-0.34655044696497	others N = 3048
