Well,Target,Sample,Cq,File,Exp,,source_file,Well,Fluor,Target,Sample,Cq,Exp
G03,RSRC2_PTC-,siNC,18.27,R1Q2,NMDtargets,,2,E03,SYBR,EPHA2,HEK_DMSO_3,22.16786225,ncEJCtargets
G04,RSRC2_PTC-,si eIF4A3,19.67,R1Q2,NMDtargets,,2,E04,SYBR,EIF4G1,HEK_DMSO_3,19.04303493,ncEJCtargets
G05,RSRC2_PTC-,si eIF4A3,19.92,R1Q2,NMDtargets,,2,E05,SYBR,EIF4G1,HEK_DMSO_3,19.01635518,ncEJCtargets
G06,RSRC2_PTC-,si eIF4A3,20.76,R1Q2,NMDtargets,,2,E06,SYBR,EIF4G1,HEK_DMSO_3,19.02112044,ncEJCtargets
G07,RSRC2_PTC-,si PYM1,19.98,R1Q2,NMDtargets,,2,E07,SYBR,DAZAP1,HEK_DMSO_3,18.28347081,ncEJCtargets
G08,RSRC2_PTC-,si PYM1,20.79,R1Q2,NMDtargets,,2,E08,SYBR,DAZAP1,HEK_DMSO_3,18.21803455,ncEJCtargets
G09,RSRC2_PTC-,si PYM1,20.18,R1Q2,NMDtargets,,2,E09,SYBR,DAZAP1,HEK_DMSO_3,18.26469806,ncEJCtargets
G10,RSRC2_PTC-,si UPF1,19.59,R1Q2,NMDtargets,,2,E10,SYBR,CAPN1,HEK_DMSO_3,22.8739948,ncEJCtargets
G11,RSRC2_PTC-,si UPF1,19.54,R1Q2,NMDtargets,,2,E11,SYBR,CAPN1,HEK_DMSO_3,23.03666256,ncEJCtargets
G12,RSRC2_PTC-,si UPF1,19.61,R1Q2,NMDtargets,,2,E12,SYBR,CAPN1,HEK_DMSO_3,22.94703739,ncEJCtargets
A01,RPS9_PTC+,siNC,18.85,R2Q1,NMDtargets,,2,F01,SYBR,EPHA2,HEK_SMG1i_3,22.09194095,ncEJCtargets
A02,RPS9_PTC+,siNC,18.3,R2Q1,NMDtargets,,2,F02,SYBR,EPHA2,HEK_SMG1i_3,22.15733849,ncEJCtargets
A03,RPS9_PTC+,siNC,18.21,R2Q1,NMDtargets,,2,F03,SYBR,EPHA2,HEK_SMG1i_3,22.16769299,ncEJCtargets
A04,RPS9_PTC+,si eIF4A3,19.44,R2Q1,NMDtargets,,2,F04,SYBR,EIF4G1,HEK_SMG1i_3,19.14580506,ncEJCtargets
A05,RPS9_PTC+,si eIF4A3,19.76,R2Q1,NMDtargets,,2,F05,SYBR,EIF4G1,HEK_SMG1i_3,19.18275942,ncEJCtargets
A06,RPS9_PTC+,si eIF4A3,19.98,R2Q1,NMDtargets,,2,F06,SYBR,EIF4G1,HEK_SMG1i_3,19.18420927,ncEJCtargets
A07,RPS9_PTC+,si PYM1,18.83,R2Q1,NMDtargets,,2,F07,SYBR,DAZAP1,HEK_SMG1i_3,18.35084884,ncEJCtargets
A08,RPS9_PTC+,si PYM1,18.94,R2Q1,NMDtargets,,2,F08,SYBR,DAZAP1,HEK_SMG1i_3,18.38418005,ncEJCtargets
A09,RPS9_PTC+,si PYM1,18.97,R2Q1,NMDtargets,,2,F09,SYBR,DAZAP1,HEK_SMG1i_3,18.1788024,ncEJCtargets
A10,RPS9_PTC+,si UPF1,19.35,R2Q1,NMDtargets,,2,F10,SYBR,CAPN1,HEK_SMG1i_3,22.9806388,ncEJCtargets
A11,RPS9_PTC+,si UPF1,19.53,R2Q1,NMDtargets,,2,F11,SYBR,CAPN1,HEK_SMG1i_3,23.07452243,ncEJCtargets
A12,RPS9_PTC+,si UPF1,19.84,R2Q1,NMDtargets,,2,F12,SYBR,CAPN1,HEK_SMG1i_3,23.14188453,ncEJCtargets
